yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1677,8997,Seckman,Seckman,"Imperial,MO","Imperial,MO",Missouri,Jaguars,18,0,0,0,11
1678,874,St. Albans,St. Albans,"St. Albans,WV","St. Albans,WV",West Virginia,Red Dragons,17,2,4,0,11
1679,13280,Dyer County,Dyer County,"Newbern,TN","Newbern,TN",Tennessee,Choctaws,17,2,3,0,11
1680,1050,Mountain View,Mountain View,"Bend,OR","Bend,OR",Oregon,Cougars,17,2,3,0,11
1681,791,Millbrook,Millbrook,"Winchester,VA","Winchester,VA",Virginia,Pioneers,17,0,2,0,11
1682,16141,Sage Creek,Sage Creek,"Carlsbad,CA","Carlsbad,CA",California,Bobcats,17,0,0,0,11
1683,7404,Shakopee,Shakopee,"Shakopee,MN","Shakopee,MN",Minnesota,Sabers,16,2,3,0,11
1684,14553,Ankeny Centennial,Ankeny Centennial,"Ankeny,IA","Ankeny,IA",Iowa,Jaguars,16,2,2,0,11
1685,13071,Cox Mill,Cox Mill,"Concord,NC","Concord,NC",North Carolina,Chargers,16,1,2,0,11
1686,12469,Legacy,Legacy,"North Las Vegas,NV","North Las Vegas,NV",Nevada,Longhorns,16,0,2,0,11
1687,7592,Southern Regional,Southern Regional,"Manahawkin,NJ","Manahawkin,NJ",New Jersey,Rams,16,1,1,0,11
1688,2883,Lakeshore,Lakeshore,"Mandeville,LA","Mandeville,LA",Louisiana,Titans,16,0,1,0,11
1689,14811,Rabun Gap-Nacoochee,Rabun Gap-Nacoochee,"Rabun Gap,GA","Rabun Gap,GA",Georgia,Eagles,16,0,1,0,11
1690,16253,McHenry County,McHenry County,"McHenry,IL","McHenry,IL",Illinois,Warriors,16,0,0,0,11
1691,7628,Spotswood,Spotswood,"Spotswood,NJ","Spotswood,NJ",New Jersey,Chargers,16,0,0,0,11
1692,4573,Hardin Valley Academy,Hardin Valley Academy,"Knoxville,TN","Knoxville,TN",Tennessee,Hawks,15,1,3,0,11
1693,6299,Morgantown,Morgantown,"Morgantown,WV","Morgantown,WV",West Virginia,Mohigans,15,1,2,0,11
1694,11096,Eagle Pass,Eagle Pass,"Eagle Pass,TX","Eagle Pass,TX",Texas,Eagles,15,0,0,0,11
1695,16427,Oceanside Collegiate Academy,Oceanside Collegiate Academy,"Mount Pleasant,SC","Mount Pleasant,SC",South Carolina,Landsharks,15,0,0,0,11
1696,16709,Klein Cain,Klein Cain,"Houston,TX","Houston,TX",Texas,Hurricanes,14,1,2,0,11
1697,4997,Hall,Hall,"Spring Valley,IL","Spring Valley,IL",Illinois,Red Devils,14,1,1,0,11
1698,2573,Riverside,Riverside,"Leesburg,VA","Leesburg,VA",Virginia,Rams,14,0,1,0,11
1699,13042,Christian Academy,Christian Academy,"Louisville,KY","Louisville,KY",Kentucky,Centurions,13,1,2,0,11
1700,16693,Chiawana,Chiawana,"Pasco,WA","Pasco,WA",Washington,Riverhawks,13,0,0,0,11
1701,13600,Rocky Mountain,Rocky Mountain,"Meridian,ID","Meridian,ID",Idaho,Grizzlies,13,0,0,0,11
1702,16806,North Forney,North Forney,"Forney,TX","Forney,TX",Texas,Falcons,12,0,0,0,11
1703,1365,Oak Grove,Oak Grove,"Winston-Salem,NC","Winston-Salem,NC",North Carolina,Grizzlies,12,0,0,0,11
1704,18091,Ranney School,Ranney School,"Tinton Falls,NJ","Tinton Falls,NJ",New Jersey,Panthers,12,0,0,0,11
1705,374,Hillsborough,Hillsborough,"Tampa,FL","Tampa,FL",Florida,Terriers,81,42,55,13,10
1706,2979,Alameda,Alameda,"Alameda,CA","Alameda,CA",California,Hornets,41,4,12,13,10
1707,1018,Santa Monica,Santa Monica,"Santa Monica,CA","Santa Monica,CA",California,Vikings,59,23,34,11,10
1708,1662,Tampa Catholic,Tampa Catholic,"Tampa,FL","Tampa,FL",Florida,Crusaders,55,18,28,9,10
1709,1612,Tucson,Tucson,"Tucson,AZ","Tucson,AZ",Arizona,Badgers,41,20,26,8,10
1710,121,Taft,Taft,"Woodland Hills,CA","Woodland Hills,CA",California,Toreadors,45,11,23,7,10
1711,1925,Tulsa Union,Tulsa Union,"Tulsa,OK","Tulsa,OK",Oklahoma,Redskins,72,12,25,6,10
1712,813,San Luis Obispo,San Luis Obispo,"San Luis Obispo,CA","San Luis Obispo,CA",California,Tigers,58,15,32,6,10
1713,318,Elkins,Elkins,"Missouri City,TX","Missouri City,TX",Texas,Knights,56,10,20,5,10
1714,1280,Christian Brothers,Christian Brothers,"Sacramento,CA","Sacramento,CA",California,Falcons,51,8,14,5,10
1715,1747,Culver City,Culver City,"Culver City,CA","Culver City,CA",California,Centaurs,45,12,25,5,10
1716,1771,San Leandro,San Leandro,"San Leandro,CA","San Leandro,CA",California,Pirates,41,10,19,5,10
1717,7943,Taylor,Taylor,"Katy,TX","Katy,TX",Texas,Mustangs,41,1,8,5,10
1718,1669,Norman,Norman,"Norman,OK","Norman,OK",Oklahoma,Tigers,40,11,17,5,10
