yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
240,838,Bishop O'Connell,Bishop O'Connell,"Arlington,VA","Arlington,VA",Virginia,Knights,54,2,8,0,24
241,950,North Rockland,North Rockland,"Thiells,NY","Thiells,NY",New York,Red Raiders,52,4,12,0,24
242,3726,Center Grove,Center Grove,"Greenwood,IN","Greenwood,IN",Indiana,Trojans,50,4,7,0,24
243,1595,Chaparral,Chaparral,"Parker,CO","Parker,CO",Colorado,Wolverines,50,2,5,0,24
244,9852,Paloma Valley,Paloma Valley,"Menifee,CA","Menifee,CA",California,Wildcats,44,0,4,0,24
245,14095,Staley,Staley,"Kansas City,MO","Kansas City,MO",Missouri,Falcons,42,2,4,0,24
246,16240,V.R. Eaton,V.R. Eaton,"Haslet,TX","Haslet,TX",Texas,Eagles,29,1,3,0,24
247,689,Farmington,Farmington,"Farmington,MN","Farmington,MN",Minnesota,Tigers,27,0,0,0,24
248,89,El Camino Real,El Camino Real,"Woodland Hills,CA","Woodland Hills,CA",California,Conquistadors,92,13,41,9,23
249,18,Crespi Carmelite,Crespi Carmelite,"Encino,CA","Encino,CA",California,Celts,93,18,32,7,23
250,4248,Detroit Catholic Central,Detroit Catholic Central,"Novi,MI","Novi,MI",Michigan,Shamrocks,62,10,17,7,23
251,700,Saint Louis,Saint Louis,"Honolulu,HI","Honolulu,HI",Hawaii,Crusaders,61,12,21,6,23
252,491,Westlake,Westlake,"Westlake Village,CA","Westlake Village,CA",California,Warriors,96,22,39,5,23
253,2135,Torrey Pines,Torrey Pines,"San Diego,CA","San Diego,CA",California,Falcons,80,12,30,5,23
254,7336,Saugus,Saugus,"Saugus,CA","Saugus,CA",California,Centurions,66,7,20,5,23
255,10432,Lemont,Lemont,"Lemont,IL","Lemont,IL",Illinois,Indians,38,4,6,5,23
256,7726,St. John Vianney,St. John Vianney,"Kirkwood,MO","Kirkwood,MO",Missouri,Griffins,65,3,17,4,23
257,5855,Loomis Chaffee School,Loomis Chaffee School,"Windsor,CT","Windsor,CT",Connecticut,Pelicans,50,3,5,4,23
258,1075,Warren,Warren,"Downey,CA","Downey,CA",California,Bears,48,9,16,4,23
259,7292,Salpointe Catholic,Salpointe Catholic,"Tucson,AZ","Tucson,AZ",Arizona,Lancers,48,6,10,4,23
260,48,Foothill,Foothill,"Santa Ana,CA","Santa Ana,CA",California,Knights,77,12,25,3,23
261,2441,East Lake,East Lake,"Tarpon Springs,FL","Tarpon Springs,FL",Florida,Eagles,58,15,19,3,23
262,1002,Marist,Marist,"Chicago,IL","Chicago,IL",Illinois,Red Hawks,52,8,20,3,23
263,171,DeMatha Catholic,DeMatha Catholic,"Hyattsville,MD","Hyattsville,MD",Maryland,Stags,96,7,18,2,23
264,357,Coppell,Coppell,"Coppell,TX","Coppell,TX",Texas,Cowboys,84,11,31,2,23
265,1275,Lake Mary,Lake Mary,"Lake Mary,FL","Lake Mary,FL",Florida,Rams,83,12,22,2,23
266,1899,Puyallup,Puyallup,"Puyallup,WA","Puyallup,WA",Washington,Vikings,65,8,17,2,23
267,7187,Rocklin,Rocklin,"Rocklin,CA","Rocklin,CA",California,Thunder,56,9,15,2,23
268,5129,Heritage,Heritage,"Littleton,CO","Littleton,CO",Colorado,Eagles,49,11,17,2,23
269,6544,North Gwinnett,North Gwinnett,"Suwanee,GA","Suwanee,GA",Georgia,Bulldogs,48,8,13,2,23
270,3173,Badin,Badin,"Hamilton,OH","Hamilton,OH",Ohio,Rams,66,4,16,1,23
271,6184,Mid-Pacific Institute,Mid-Pacific Institute,"Honolulu,HI","Honolulu,HI",Hawaii,Owls,63,8,14,1,23
272,1868,Desert Vista,Desert Vista,"Phoenix,AZ","Phoenix,AZ",Arizona,Thunder,62,11,22,1,23
273,5772,Libertyville,Libertyville,"Libertyville,IL","Libertyville,IL",Illinois,Wildcats,59,4,11,1,23
274,6561,North Penn,North Penn,"Lansdale,PA","Lansdale,PA",Pennsylvania,Knights,63,0,6,0,23
275,9504,Archbishop Spalding,Archbishop Spalding,"Severn,MD","Severn,MD",Maryland,Cavaliers,60,1,10,0,23
276,9649,Vista Murrieta,Vista Murrieta,"Murrieta,CA","Murrieta,CA",California,Broncos,56,3,9,0,23
277,7861,Strake Jesuit,Strake Jesuit,"Houston,TX","Houston,TX",Texas,Crusaders,50,2,8,0,23
278,11604,Cosby,Cosby,"Midlothian,VA","Midlothian,VA",Virginia,Titans,48,1,8,0,23
279,513,Bentonville,Bentonville,"Bentonville,AR","Bentonville,AR",Arkansas,Tigers,47,1,8,0,23
280,10152,Oswego East,Oswego East,"Oswego,IL","Oswego,IL",Illinois,wolves,32,2,2,0,23
281,335,Berkeley,Berkeley,"Berkeley,CA","Berkeley,CA",California,Yellowjackets,76,19,29,15,22
282,1679,Riverside Poly,Riverside Poly,"Riverside,CA","Riverside,CA",California,Bears,84,24,42,13,22
283,973,Poway,Poway,"Poway,CA","Poway,CA",California,Titans,100,19,45,11,22
284,167,Torrance,Torrance,"Torrance,CA","Torrance,CA",California,Tartars,63,21,29,11,22
285,1590,El Dorado,El Dorado,"Placentia,CA","Placentia,CA",California,Golden Hawks,100,29,51,10,22
286,79,Marina,Marina,"Huntington Beach,CA","Huntington Beach,CA",California,Vikings,92,23,43,9,22
287,572,Fountain Valley,Fountain Valley,"Fountain Valley,CA","Fountain Valley,CA",California,Barons,84,16,35,7,22
288,1983,Yucaipa,Yucaipa,"Yucaipa,CA","Yucaipa,CA",California,Thunderbirds,76,13,27,7,22
289,1867,Barbe,Barbe,"Lake Charles,LA","Lake Charles,LA",Louisiana,Buccaneers,94,18,34,6,22
290,4814,Georgetown,Georgetown,"Georgetown,TX","Georgetown,TX",Texas,Eagles,77,4,17,5,22
291,523,Land O'Lakes,Land O'Lakes,"Land O'Lakes,FL","Land O'Lakes,FL",Florida,Gators,53,9,17,5,22
292,6648,Oak Park-River Forest,Oak Park-River Forest,"Oak Park,IL","Oak Park,IL",Illinois,Huskies,82,12,22,4,22
293,1910,Rockhurst,Rockhurst,"Kansas City,MO","Kansas City,MO",Missouri,Hawklets,79,11,21,4,22
294,422,Barrington,Barrington,"Barrington,IL","Barrington,IL",Illinois,Broncos,78,9,24,4,22
295,1686,Royal,Royal,"Simi Valley,CA","Simi Valley,CA",California,Highlanders,70,16,27,4,22
296,383,Central Catholic,Central Catholic,"Pittsburgh,PA","Pittsburgh,PA",Pennsylvania,Vikings,68,10,19,4,22
297,386,Harrison,Harrison,"Kennesaw,GA","Kennesaw,GA",Georgia,Hoyas,68,6,16,4,22
298,13542,Cypress Ranch,Cypress Ranch,"Cypress,TX","Cypress,TX",Texas,Mustangs,59,6,10,4,22
299,1378,Rockwall-Heath,Rockwall-Heath,"Rockwall,TX","Rockwall,TX",Texas,Hawks,48,7,13,4,22
300,10148,Sunrise Mountain,Sunrise Mountain,"Peoria,AZ","Peoria,AZ",Arizona,Mustangs,44,2,8,4,22
301,159,Aliso Niguel,Aliso Niguel,"Aliso Viejo,CA","Aliso Viejo,CA",California,Wolverines,64,9,20,3,22
302,6695,Olympia,Olympia,"Orlando,FL","Orlando,FL",Florida,Titans,58,12,16,3,22
303,10872,Buford,Buford,"Buford,GA","Buford,GA",Georgia,Wolves,58,9,16,3,22
304,9490,Chino Hills,Chino Hills,"Chino Hills,CA","Chino Hills,CA",California,Huskies,57,4,12,3,22
305,3506,Brownsburg,Brownsburg,"Brownsburg,IN","Brownsburg,IN",Indiana,Bulldogs,51,5,10,3,22
306,1785,Brandon,Brandon,"Brandon,MS","Brandon,MS",Mississippi,Bulldogs,47,7,14,3,22
307,2186,Calvert Hall,Calvert Hall,"Baltimore,MD","Baltimore,MD",Maryland,Cardinals,111,16,27,2,22
308,2936,Walsh Jesuit,Walsh Jesuit,"Cuyahoga Falls,OH","Cuyahoga Falls,OH",Ohio,Warriors,80,6,10,2,22
309,471,Minnetonka,Minnetonka,"Minnetonka,MN","Minnetonka,MN",Minnesota,Skippers,76,6,13,2,22
310,2593,Millard North,Millard North,"Omaha,NE","Omaha,NE",Nebraska,Mustangs,65,5,14,2,22
311,923,Northwest Rankin,Northwest Rankin,"Brandon,MS","Brandon,MS",Mississippi,Cougars,62,5,14,2,22
312,4543,Etowah,Etowah,"Woodstock,GA","Woodstock,GA",Georgia,Eagles,57,4,12,2,22
313,1420,Shawnee,Shawnee,"Medford,NJ","Medford,NJ",New Jersey,Renegades,56,3,6,2,22
314,8986,Oaks Christian,Oaks Christian,"Westlake Village,CA","Westlake Village,CA",California,Lions,49,5,10,2,22
315,1462,The Hun School,The Hun School,"Princeton,NJ","Princeton,NJ",New Jersey,Raiders,44,3,9,2,22
316,1285,Christian Brothers Academy,Christian Brothers Academy,"Albany,NY","Albany,NY",New York,Brothers,64,0,7,1,22
317,5917,Madison Central,Madison Central,"Madison,MS","Madison,MS",Mississippi,Jaguars,60,5,14,1,22
318,7706,St. Francis Prep,St. Francis Prep,"Flushing,NY","Flushing,NY",New York,Terriers,59,2,6,1,22
319,2934,St. Joseph,St. Joseph,"Metuchen,NJ","Metuchen,NJ",New Jersey,Falcons,54,1,8,1,22
320,12471,Cypress Woods,Cypress Woods,"Cypress,TX","Cypress,TX",Texas,Wildcats,49,4,10,1,22
321,10525,Woodcreek,Woodcreek,"Roseville,CA","Roseville,CA",California,Timberwolves,48,1,10,1,22
322,11440,Montverde Academy,Montverde Academy,"Montverde,FL","Montverde,FL",Florida,Eagles,41,6,9,1,22
323,4087,Cranford,Cranford,"Cranford,NJ","Cranford,NJ",New Jersey,Cougars,41,2,6,1,22
324,4586,Farmingdale,Farmingdale,"Farmingdale,NY","Farmingdale,NY",New York,Dalers,37,1,2,1,22
325,8988,Avon Grove,Avon Grove,"West Grove,PA","West Grove,PA",Pennsylvania,Red Devils,33,0,1,1,22
326,1731,Lassiter,Lassiter,"Marietta,GA","Marietta,GA",Georgia,Trojans,103,7,23,0,22
327,1884,Xaverian Brothers,Xaverian Brothers,"Westwood,MA","Westwood,MA",Massachusetts,Hawks,51,0,4,0,22
328,6687,Olentangy Orange,Olentangy Orange,"Lewis Center,OH","Lewis Center,OH",Ohio,Braves,50,1,5,0,22
329,13092,Plainfield North,Plainfield North,"Plainfield,IL","Plainfield,IL",Illinois,Tigers,48,0,3,0,22
330,6986,Prior Lake,Prior Lake,"Prior Lake,MN","Prior Lake,MN",Minnesota,Lakers,45,2,3,0,22
331,15135,Windermere Prep,Windermere Prep,"Windermere,FL","Windermere,FL",Florida,Lakers,39,2,5,0,22
332,11275,Fairfield Warde,Fairfield Warde,"Fairfield,CT","Fairfield,CT",Connecticut,Mustangs,39,1,3,0,22
333,4310,Downingtown West,Downingtown West,"Downingtown,PA","Downingtown,PA",Pennsylvania,Whippets,38,0,4,0,22
334,1364,Cabot,Cabot,"Cabot,AR","Cabot,AR",Arkansas,Panthers,38,1,3,0,22
335,14813,Valor Christian,Valor Christian,"Highlands Ranch,CO","Highlands Ranch,CO",Colorado,Eagles,37,0,2,0,22
336,2672,Carlsbad,Carlsbad,"Carlsbad,CA","Carlsbad,CA",California,Lancers,59,6,19,7,21
337,6453,New Trier,New Trier,"Winnetka,IL","Winnetka,IL",Illinois,Trevians,99,8,26,6,21
338,1766,Ocean View,Ocean View,"Huntington Beach,CA","Huntington Beach,CA",California,Seahawks,60,15,23,6,21
339,761,Mountain Pointe,Mountain Pointe,"Phoenix,AZ","Phoenix,AZ",Arizona,Pride,70,13,25,5,21
340,88,Tomball,Tomball,"Tomball,TX","Tomball,TX",Texas,Cougars,78,8,25,4,21
341,2224,Charlotte Christian,Charlotte Christian,"Charlotte,NC","Charlotte,NC",North Carolina,Knights,67,6,13,4,21
342,1068,Villa Park,Villa Park,"Orange,CA","Orange,CA",California,Spartans,65,14,25,4,21
343,85,Brookwood,Brookwood,"Snellville,GA","Snellville,GA",Georgia,Broncos,55,8,18,4,21
344,2671,Trabuco Hills,Trabuco Hills,"Mission Viejo,CA","Mission Viejo,CA",California,Mustangs,51,4,12,3,21
345,2797,Cardinal Newman,Cardinal Newman,"Santa Rosa,CA","Santa Rosa,CA",California,Cardinals,46,3,10,3,21
346,8532,Willowbrook,Willowbrook,"Villa Park,IL","Villa Park,IL",Illinois,Warriors,42,1,5,3,21
347,4398,East Coweta,East Coweta,"Sharpsburg,GA","Sharpsburg,GA",Georgia,Indians,40,6,11,3,21
348,4205,Delbarton School,Delbarton School,"Morristown,NJ","Morristown,NJ",New Jersey,Green Wave,61,3,6,2,21
349,5617,Lake Forest,Lake Forest,"Lake Forest,IL","Lake Forest,IL",Illinois,Scouts,56,3,7,2,21
350,10006,Blue Valley,Blue Valley,"Stilwell,KS","Stilwell,KS",Kansas,Tigers,51,3,11,2,21
351,162,Wake Forest,Wake Forest,"Wake Forest,NC","Wake Forest,NC",North Carolina,Cougars,40,4,9,2,21
352,1216,Westfield,Westfield,"Westfield,IN","Westfield,IN",Indiana,Shamrocks,40,2,5,2,21
353,13645,Miller School of Albemarle,Miller School of Albemarle,"Charlottesville,VA","Charlottesville,VA",Virginia,Mavericks,35,1,7,2,21
354,12432,North Oconee,North Oconee,"Bogart,GA","Bogart,GA",Georgia,Titans,33,2,4,2,21
355,7844,State College Area,State College Area,"State College,PA","State College,PA",Pennsylvania,Little Lions,65,1,11,1,21
356,7691,St. Dominic,St. Dominic,"Oyster Bay,NY","Oyster Bay,NY",New York,Bayhawks,56,3,7,1,21
357,124,Phillips Academy,Phillips Academy,"Andover,MA","Andover,MA",Massachusetts,Big Blues,51,3,7,1,21
358,7763,St. Joseph by the Sea,St. Joseph by the Sea,"Staten Island,NY","Staten Island,NY",New York,Vikings,46,0,3,1,21
359,6804,Paul VI,Paul VI,"Haddonfield,NJ","Haddonfield,NJ",New Jersey,Eagles,38,3,6,1,21
360,9478,Fort Zumwalt West,Fort Zumwalt West,"O'Fallon,MO","O'Fallon,MO",Missouri,Jaguars,38,1,5,1,21
361,4200,Del Oro,Del Oro,"Loomis,CA","Loomis,CA",California,Golden Eagles,35,1,7,1,21
362,9590,Archbishop Wood,Archbishop Wood,"Warminster,PA","Warminster,PA",Pennsylvania,Vikings,35,0,3,1,21
363,5558,Kingsway Regional,Kingsway Regional,"Swedesboro,NJ","Swedesboro,NJ",New Jersey,Dragons,34,2,3,1,21
364,13278,Christian Academy of Knoxville,Christian Academy of Knoxville,"Knoxville,TN","Knoxville,TN",Tennessee,Warriors,26,1,3,1,21
365,1297,Hoover,Hoover,"Hoover,AL","Hoover,AL",Alabama,Buccaneers,64,5,12,0,21
366,5493,Kennedy Catholic,Kennedy Catholic,"Somers,NY","Somers,NY",New York,Gaels,36,1,4,0,21
367,1072,Oswego Community,Oswego Community,"Oswego,IL","Oswego,IL",Illinois,Panthers,36,2,2,0,21
368,6638,Oak Creek,Oak Creek,"Milwaukee,WI","Milwaukee,WI",Wisconsin,Knights,32,3,5,0,21
369,15473,Inspiration Academy,Inspiration Academy,"Bradenton,FL","Bradenton,FL",Florida,Lions,30,1,1,0,21
370,16231,Obra D. Tompkins,Obra D. Tompkins,"Katy,TX","Katy,TX",Texas,Falcons,30,0,1,0,21
371,12755,Dakota,Dakota,"Macomb,MI","Macomb,MI",Michigan,Cougars,27,0,0,0,21
372,16405,Elite Squad Academy,Elite Squad Academy,"Pembroke Pines,FL","Pembroke Pines,FL",Florida,,22,0,0,0,21
373,16481,Murrieta Mesa,Murrieta Mesa,"Murrieta,CA","Murrieta,CA",California,Rams,22,0,0,0,21
374,24,Monsignor Edward Pace,Monsignor Edward Pace,"Miami,FL","Miami,FL",Florida,Spartans,96,44,52,10,20
375,1067,Granite Hills,Granite Hills,"El Cajon,CA","El Cajon,CA",California,Eagles,90,29,44,9,20
376,1346,Helix Charter,Helix Charter,"La Mesa,CA","La Mesa,CA",California,Highlanders,79,17,31,9,20
377,59,St. Mary's,St. Mary's,"Stockton,CA","Stockton,CA",California,Rams,81,9,33,7,20
378,464,Mosley,Mosley,"Panama City,FL","Panama City,FL",Florida,Dolphins,66,17,24,6,20
379,4646,Fordham Prep,Fordham Prep,"Bronx,NY","Bronx,NY",New York,Rams,66,1,8,6,20
380,2051,Palm Desert,Palm Desert,"Palm Desert,CA","Palm Desert,CA",California,Aztecs,60,16,27,5,20
381,2705,Mount Lebanon,Mount Lebanon,"Pittsburgh,PA","Pittsburgh,PA",Pennsylvania,Blue Devils,50,7,15,5,20
382,1948,The Bolles School,The Bolles School,"Jacksonville,FL","Jacksonville,FL",Florida,Bulldogs,78,9,21,4,20
383,8916,Zionsville,Zionsville,"Zionsville,IN","Zionsville,IN",Indiana,Eagles,58,1,8,3,20
384,1692,Redlands East Valley,Redlands East Valley,"Redlands,CA","Redlands,CA",California,Wildcats,49,7,15,3,20
385,1596,Chaparral,Chaparral,"Temecula,CA","Temecula,CA",California,Pumas,43,1,8,3,20
386,9915,Folsom,Folsom,"Folsom,CA","Folsom,CA",California,Bulldogs,42,4,13,3,20
387,8795,Grayson,Grayson,"Loganville,GA","Loganville,GA",Georgia,Rams,36,6,9,3,20
388,9078,Calvary Christian Academy,Calvary Christian Academy,"Fort Lauderdale,FL","Fort Lauderdale,FL",Florida,Eagles,34,6,8,3,20
389,9511,Cienega,Cienega,"Vail,AZ","Vail,AZ",Arizona,Bobcats,28,3,8,3,20
390,5673,LaSalle College,LaSalle College,"Wyndmoor,PA","Wyndmoor,PA",Pennsylvania,Explorers,69,1,7,2,20
391,2709,Hamilton Southeastern,Hamilton Southeastern,"Fishers,IN","Fishers,IN",Indiana,Royals,50,0,7,2,20
392,14810,Arnold O. Beckman,Arnold O. Beckman,"Irvine,CA","Irvine,CA",California,Patriots,43,3,10,2,20
393,1569,Joliet West,Joliet West,"Joliet,IL","Joliet,IL",Illinois,Tigers,42,5,8,2,20
394,3005,Allen,Allen,"Allen,TX","Allen,TX",Texas,Bald Eagles,60,5,14,1,20
395,353,Salesianum,Salesianum,"Wilmington,DE","Wilmington,DE",Delaware,Sallies,59,6,15,1,20
396,11483,Rockwall,Rockwall,"Rockwall,TX","Rockwall,TX",Texas,Yellowjackets,59,4,13,1,20
397,28,Auburn,Auburn,"Auburn,AL","Auburn,AL",Alabama,Tigers,52,5,12,1,20
398,6379,Mundelein,Mundelein,"Mundelein,IL","Mundelein,IL",Illinois,Mustangs,51,4,7,1,20
399,2435,Homestead,Homestead,"Fort Wayne,IN","Fort Wayne,IN",Indiana,Spartans,49,3,9,1,20
400,7265,Sachem East,Sachem East,"Farmingville,NY","Farmingville,NY",New York,Flaming Arrows,48,2,6,1,20
401,3731,Centerville,Centerville,"Centerville,OH","Centerville,OH",Ohio,Elks,45,3,9,1,20
402,1290,Lenape,Lenape,"Medford,NJ","Medford,NJ",New Jersey,Indians,45,6,8,1,20
403,684,Cherry Hill West,Cherry Hill West,"Cherry Hill,NJ","Cherry Hill,NJ",New Jersey,Lions,44,2,8,1,20
404,8721,Dutchtown,Dutchtown,"Geismar,LA","Geismar,LA",Louisiana,Griffins,42,2,8,1,20
405,2942,Ketcham,Ketcham,"Wappingers Falls,NY","Wappingers Falls,NY",New York,Indians,42,1,6,1,20
406,3309,Bethlehem Liberty,Bethlehem Liberty,"Bethlehem,PA","Bethlehem,PA",Pennsylvania,Hurricanes,40,1,5,1,20
407,15118,Desert Oasis,Desert Oasis,"Las Vegas,NV","Las Vegas,NV",Nevada,Diamondbacks,34,4,6,1,20
408,14828,North Paulding,North Paulding,"Dallas,GA","Dallas,GA",Georgia,Wolfpack,34,1,2,1,20
409,4747,Freedom,Freedom,"South Riding,VA","South Riding,VA",Virginia,Eagles,28,2,4,1,20
410,14784,Clear Falls,Clear Falls,"League City,TX","League City,TX",Texas,Knights,27,1,1,1,20
411,2924,Marian Catholic,Marian Catholic,"Chicago Heights,IL","Chicago Heights,IL",Illinois,Spartans,59,6,10,0,20
412,3871,Cherokee,Cherokee,"Marlton,NJ","Marlton,NJ",New Jersey,Chiefs,57,1,6,0,20
413,4856,Glenbrook South,Glenbrook South,"Glenview,IL","Glenview,IL",Illinois,Titans,53,2,6,0,20
414,10111,Warren Township,Warren Township,"Gurnee,IL","Gurnee,IL",Illinois,Blue Devils,41,0,5,0,20
415,9965,North Forsyth,North Forsyth,"Cumming,GA","Cumming,GA",Georgia,Vikings,39,1,3,0,20
416,2744,Mount Vernon,Mount Vernon,"Fortville,IN","Fortville,IN",Indiana,Marauders,34,0,3,0,20
417,9519,Houston County,Houston County,"Warner Robins,GA","Warner Robins,GA",Georgia,Bears,33,1,6,0,20
418,10098,Canterbury School,Canterbury School,"New Milford,CT","New Milford,CT",Connecticut,Saints,32,0,0,0,20
419,15486,Liberty North,Liberty North,"Liberty,MO","Liberty,MO",Missouri,Eagles,30,1,2,0,20
420,13227,St. MIchael-Albertville,St. MIchael-Albertville,"St. Michael,MN","St. Michael,MN",Minnesota,Knights,28,0,2,0,20
421,17077,Combine Academy,Combine Academy,"Lincolnton,NC","Lincolnton,NC",North Carolina,Goats,27,1,1,0,20
422,14232,Citrus Valley,Citrus Valley,"Redlands,CA","Redlands,CA",California,Blackhawks,23,1,1,0,20
423,16809,Lake Creek,Lake Creek,"Montgomery,TX","Montgomery,TX",Texas,Lions,21,0,1,0,20
424,83,Lakewood,Lakewood,"Lakewood,CA","Lakewood,CA",California,Lancers,133,52,81,17,19
425,1198,Henry B. Plant,Henry B. Plant,"Tampa,FL","Tampa,FL",Florida,Panthers,74,19,34,13,19
426,221,Grossmont,Grossmont,"El Cajon,CA","El Cajon,CA",California,Foothillers,83,20,40,8,19
427,7271,Sacred Heart Cathedral,Sacred Heart Cathedral,"San Francisco,CA","San Francisco,CA",California,Fighting Irish,52,1,13,8,19
428,5998,Marist School,Marist School,"Atlanta,GA","Atlanta,GA",Georgia,Eagles,77,4,17,7,19
429,1001,Kingwood,Kingwood,"Kingwood,TX","Kingwood,TX",Texas,Mustangs,81,14,26,6,19
430,9526,Palm Beach Central,Palm Beach Central,"Wellington,FL","Wellington,FL",Florida,Broncos,50,3,12,6,19
431,1718,Westlake,Westlake,"Austin,TX","Austin,TX",Texas,Chaparrals,87,12,23,5,19
432,1381,Jupiter Community,Jupiter Community,"Jupiter,FL","Jupiter,FL",Florida,Warriors,76,15,27,5,19
433,1946,Palmetto,Palmetto,"Miami,FL","Miami,FL",Florida,Panthers,79,9,24,4,19
434,8178,Vestavia Hills,Vestavia Hills,"Birmingham,AL","Birmingham,AL",Alabama,Rebels,72,4,15,4,19
435,7278,St. Ignatius College Prep,St. Ignatius College Prep,"San Francisco,CA","San Francisco,CA",California,Wildcats,66,6,15,4,19
436,7290,Salisbury School,Salisbury School,"Salisbury,CT","Salisbury,CT",Connecticut,Crimson Knights,58,9,17,4,19
437,1306,Redwood,Redwood,"Visalia,CA","Visalia,CA",California,Rangers,49,9,16,4,19
438,4663,Forney,Forney,"Forney,TX","Forney,TX",Texas,Jackrabbits,41,2,8,4,19
439,1889,Gaither,Gaither,"Tampa,FL","Tampa,FL",Florida,Cowboys,74,11,18,3,19
440,1231,Mansfield,Mansfield,"Mansfield,TX","Mansfield,TX",Texas,Tigers,65,7,16,3,19
441,154,Benedictine College Prep,Benedictine College Prep,"Richmond,VA","Richmond,VA",Virginia,Cadets,53,4,8,3,19
442,12618,Seven Lakes,Seven Lakes,"Katy,TX","Katy,TX",Texas,Spartans,46,3,8,3,19
443,6921,Pleasant Valley,Pleasant Valley,"Chico,CA","Chico,CA",California,Vikings,43,4,10,3,19
444,15,Pine-Richland,Pine-Richland,"Gibsonia,PA","Gibsonia,PA",Pennsylvania,Rams,43,3,7,3,19
445,6318,Mounds View,Mounds View,"Arden Hills,MN","Arden Hills,MN",Minnesota,Mustangs,40,4,11,3,19
446,34,Belen Jesuit Prep,Belen Jesuit Prep,"Miami,FL","Miami,FL",Florida,Wolverines,67,3,7,2,19
447,1445,La Mirada,La Mirada,"La Mirada,CA","La Mirada,CA",California,Matadores,66,15,26,2,19
448,5756,Lexington Catholic,Lexington Catholic,"Lexington,KY","Lexington,KY",Kentucky,Knights,64,7,9,2,19
449,1417,Baylor School,Baylor School,"Chattanooga,TN","Chattanooga,TN",Tennessee,Red Raiders,51,8,16,2,19
450,837,Connetquot,Connetquot,"Bohemia,NY","Bohemia,NY",New York,T-Birds,49,3,8,2,19
451,3091,Archbishop Stepinac,Archbishop Stepinac,"White Plains,NY","White Plains,NY",New York,Crusaders,46,0,2,2,19
452,7884,Summerville,Summerville,"Summerville,SC","Summerville,SC",South Carolina,Greenwave,45,3,9,2,19
453,5537,Kimberly,Kimberly,"Kimberly,WI","Kimberly,WI",Wisconsin,Papermakers,37,4,7,2,19
454,1927,Stillwater Area,Stillwater Area,"Stillwater,MN","Stillwater,MN",Minnesota,Ponies,32,3,7,2,19
455,14869,Magnolia West,Magnolia West,"Magnolia,TX","Magnolia,TX",Texas,Mustangs,27,2,4,2,19
456,3370,Bloomingdale,Bloomingdale,"Valrico,FL","Valrico,FL",Florida,Bulls,56,9,16,1,19
457,1237,California,California,"San Ramon,CA","San Ramon,CA",California,Grizzlies,52,2,15,1,19
458,4464,Edmond North,Edmond North,"Edmond,OK","Edmond,OK",Oklahoma,Huskies,47,5,11,1,19
459,6043,William Mason,William Mason,"Mason,OH","Mason,OH",Ohio,Comets,45,3,10,1,19
