hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
12147,Media,"Media,PA",Media,Pennsylvania,PA,-,,,
12148,Lee,"Lee,MI",Lee,Michigan,MI,-,,,
12149,Billy Mitchell,"Colorado Springs,CO",Colorado Springs,Colorado,CO,Marauders,,,
12150,Brooklyn Heights,"Cleveland,OH",Cleveland,Ohio,OH,-,-,-,
12151,Richard Winn Academy,"Winnsboro,NC",Winnsboro,North Carolina,NC,Eagles,,,
12153,Northeastern,"Detroit,MI",Detroit,Michigan,MI,-,,,
12154,Columbia,"Columbia,SC",Columbia,South Carolina,SC,Captitals,maroon,gold,
12155,Winooski,"Winooski,VT",Winooski,Vermont,VT,Spartans,green,white,
12156,Alliance Christian,"Portsmouth,VA",Portsmouth,Virginia,VA,Falcons,-,-,
12157,Carihi,"Campbell River,BC",Campbell River,British Columbia,BC,Tyees,#008000,#FFFF00,white
12158,Central,"Detroit,MI",Detroit,Michigan,MI,Trailblazers,navy,white,
12159,California,"California,PA",California,Pennsylvania,PA,Trojans,maroon,gold,
12160,Brooklyn Specialty Trades,"Brooklyn,NY",Brooklyn,New York,NY,-,-,-,
12161,Kewanee,"Kewanee,IL",Kewanee,Illinois,IL,Boilermakers,,,
12162,Berwyn,"Berwyn,IL",Berwyn,Illinois,IL,-,-,-,
12163,Porter,"Porter,OK",Porter,Oklahoma,OK,Pirates,,,
12165,Kingman,"Kingman,KS",Kingman,Kansas,KS,Eagles,,,
12166,Redstone Township,"Republic,PA",Republic,Pennsylvania,PA,-,,,
12167,George,"George,IA",George,Iowa,IA,-,-,-,
12169,Clinton,"Clinton,NY",Clinton,New York,NY,Warriors,maroon,white,gray
12170,Adams Memorial,"Adams,MA",Adams,Massachusetts,MA,-,-,-,
12171,Austin Community Academy,"Chicago,IL",Chicago,Illinois,IL,Tigers,white,maroon,
12172,Spring Hill,"Spring Hill,FL",Spring Hill,Florida,FL,-,,,
12173,Warsaw,"Warsaw,MO",Warsaw,Missouri,MO,Wildcats,green,black,
12174,St. Andrew,"Saginaw,MI",Saginaw,Michigan,MI,-,-,-,
12175,Reynoldsville,"Versailles,IN",Versailles,Indiana,IN,-,,,
12176,Johnson,"North Andover,MA",North Andover,Massachusetts,MA,-,-,-,
12177,Brown Prep,"Philadelphia,PA",Philadelphia,Pennsylvania,PA,-,-,-,
12178,St. Martin DePorres,"Detroit,MI",Detroit,Michigan,MI,Eagles,,,
12179,Elsie Allen,"Santa Rosa,CA",Santa Rosa,California,CA,Lobos,,,
12181,Massey Military Academy,"Cornersville,TN",Cornersville,Tennessee,TN,-,-,-,
12182,Penentang,"Penentang,ON",Penentang,Ontario,ON,-,,,
